"","STNAME","YEAR_2014","YEAR_2015","YEAR_2016","YEAR_2017"
"1","Alabama",9680074,9701716,9721090,9749494
"2","Alaska",1473518,1475958,1483044,1479590
"3","Arizona",13412870,13604524,13817284,14032540
"4","Arkansas",5929600,5951252,5976462,6008558
"5","California",77402556,78064888,78592952,79073306
"6","Colorado",10684622,10880890,11060210,11214308
"7","Connecticut",7200376,7187724,7175370,7176368
"8","Delaware",1869610,1888214,1905396,1923878
"9","District of Columbia",1321594,1345472,1368672,1387944
"10","Florida",39795494,40537134,41313178,41968800
"11","Georgia",20167700,20399066,20627240,20858758
"12","Hawaii",2835420,2852640,2857366,2855076
"13","Idaho",3260782,3298648,3360052,3433886
"14","Illinois",25764876,25724102,25671452,25604046
"15","Indiana",13186364,13221192,13268014,13333636
"16","Iowa",6211126,6236946,6261738,6291422
"17","Kansas",5799106,5811578,5815462,5826246
"18","Kentucky",8820830,8844114,8872226,8908378
"19","Louisiana",9297594,9342422,9372314,9368666
"20","Maine",2657806,2655574,2660464,2671814
"21","Maryland",11940490,12001122,12049504,12104354
"22","Massachusetts",13515850,13588004,13647442,13719638
"23","Michigan",19829350,19836340,19866890,19924622
"24","Minnesota",10905298,10966476,11050100,11153212
"25","Mississippi",5977156,5970594,5970830,5968200
"26","Missouri",12116028,12145280,12182352,12227064
"27","Montana",2039862,2056634,2077312,2100986
"28","Nebraska",3761840,3787128,3815206,3840152
"29","Nevada",5663460,5766114,5878508,5996078
"30","New Hampshire",2657368,2660268,2670030,2685590
"31","New Jersey",17886020,17920002,17956832,18011288
"32","New Mexico",4166414,4164528,4170864,4176140
"33","New York",39547160,39638694,39672572,39698798
"34","North Carolina",19882320,20083538,20313378,20546838
"35","North Dakota",1477316,1509718,1511096,1510786
"36","Ohio",23187482,23212054,23245108,23317218
"37","Oklahoma",7750016,7808706,7842414,7861728
"38","Oregon",7921346,8033074,8171978,8285552
"39","Pennsylvania",25580682,25582248,25574170,25611074
"40","Rhode Island",2109564,2111832,2115132,2119278
"41","South Carolina",9649516,9784846,9919644,10048738
"42","South Dakota",1698910,1708072,1723084,1739332
"43","Tennessee",13080014,13181452,13298808,13431968
"44","Texas",53908872,54909760,55809724,56609192
"45","Utah",5877342,5969834,6088642,6203666
"46","Vermont",1251330,1248910,1246708,1247314
"47","Virginia",16633804,16733534,16828760,16940040
"48","Washington",14093862,14305636,14561868,14811486
"49","West Virginia",3695248,3679534,3657274,3631714
"50","Wisconsin",11502544,11519488,11545834,11590966
"51","Wyoming",1166668,1172204,1169820,1158630
